Category,Command,Description,Parameters,Permission Required,Notes
Draft,/draft-setup,Launch the interactive step-by-step draft setup wizard,(none — opens wizard UI),Manage Server,Walks through format / rounds / timer / game mode interactively
Draft,/draft-create,Quickly create a draft with inline options,"format (snake/auction/tiered/custom), rounds (int), timer_seconds (int), game_format (showdown/vgc/sv/swsh/bdsp/legends)",Manage Server,Skips the wizard; all parameters have defaults
Draft,/draft-join,Join an active draft as a player,"team_name (optional text), pool (A or B optional)",Any Player,Can only join while draft is in SETUP status
Draft,/draft-cancel,Cancel and delete the current draft (confirmation required),(none),Manage Server,Shows a confirmation button before permanently removing the draft and all picks
Draft,/draft-start,Start the draft and begin the first pick turn,(none),Commissioner Only,Requires at least 2 players joined; starts pick timer
Draft,/pick,Pick a Pokemon on your turn,"pokemon (name, required), tera_type (optional — Normal/Fire/Water/…), is_tera_captain (optional bool)",Any Player (on their turn),Auto-skips if pick timer expires; validates against ban list
Draft,/ban,Ban a Pokemon during the ban phase,pokemon (name required),Any Player (on their turn),Only valid during BAN_PHASE (Custom format)
Draft,/bid,Place a bid during an auction draft,amount (integer required),Any Player (on their turn),Auction format only; checked against remaining budget
Draft,/draft-status,Show the current draft status and whose turn it is,(none),Any Player,Shows round / pick number / current player / timer
Draft,/draft-board,Show the full draft board with all picks so far,(none),Any Player,Paginated embed of all picks by round
League,/league-create,Create a new draft league for this server,"name (text required), format (snake/auction/tiered/custom optional), season (int optional)",Any Member,Saves league to Google Sheets; one league per server typical
League,/schedule,View the match schedule,"week (int optional), pool (A or B optional)",Any Member,Reads from Google Sheets Schedule tab
League,/result,Report a match result and update ELO ratings,"opponent (@mention required), won (True/False required)",Any Member,Records ELO changes; DMs both players with new ratings; saves to Sheets
Team,/team,View a player's drafted team,user (@mention optional — defaults to yourself),Any Member,Shows full roster embed with type coverage
Team,/team-register,Register your team name and logo,"team_name (text required), logo_url (URL optional)",Any Member,Logo must be a valid image URL (Discord CDN or public link)
Team,/trade,Propose a Pokemon trade with another player,"opponent (@mention required), give (Pokemon name required), receive (Pokemon name required)",Any Member,Creates a pending trade; opponent must /trade-accept to complete
Team,/trade-accept,Accept a pending trade offer,trade_id (text required),Any Member (trade recipient),Trade ID shown in the trade offer embed
Team,/trade-decline,Decline a pending trade offer,trade_id (text required),Any Member (trade recipient),Trade ID shown in the trade offer embed
Team,/teamimport,Import a Showdown team from a .txt file attachment,"format (autocomplete: Gen 9 Smogon/VGC/Draft League), team_file (attachment: .txt Showdown export)",Any Player,Parses the export and shows a Confirm/Cancel embed before saving; format stored as separate team
Team,/teamexport,Export your team in Pokemon Showdown format,(none),Any Member,Returns a pasteable Showdown team export string
Team,/legality,Check if a Pokemon is legal in a specific game,"pokemon (name required), game (sv/swsh/bdsp/vgc/legends required)",Any Member,Checks console legality tables and VGC legality flag
Stats,/analysis,Full team analysis — type coverage / weaknesses / roles / archetypes,user (@mention optional — defaults to yourself),Any Member,Powered by AnalyticsService; includes archetype label and threat score
Stats,/matchup,Compare two teams head-to-head and show advantage score,"player1 (@mention optional), player2 (@mention optional)",Any Member,Leave both blank to compare the two most recent draft participants
Stats,/standings,Show league ELO standings and win/loss records,(none),Any Member,Sorted by ELO descending; pulled from EloService + Sheets
Stats,/replay,Submit a Pokemon Showdown replay link for a match,url (replay.pokemonshowdown.com URL required),Any Member,Auto-parses winner / Pokemon used / turns; records match result
Stats,/match-upload,Upload a capture card video of your match,"opponent (@mention required), video (file attachment required), game_id (optional text)",Any Member,Uploads to Cloudflare R2 or Azure Blob; generates ffmpeg thumbnail if available; max 100MB
Stats,/pokemon,Look up a Pokemon's stats / tier / abilities / console legality,name (Pokemon name required),Any Member,Returns embed with base stats / Showdown tier / VGC legality / sprite
