pokemon,reason
Calyrex-Shadow,"Broken Speed + SpA, unstoppable sweeper"
Calyrex-Ice,Glacial Lance breaks balance
Zacian-Crowned,Intrepid Sword + Steel/Fairy typing
Koraidon,Orichalcum Pulse + offensives overwhelming
Miraidon,Hadron Engine Electric Terrain abuse
Flutter Mane,Protosynthesis + Fairy/Ghost offenses
Iron Bundle,Quark Drive + Freeze-Dry coverage
Chi-Yu,Beads of Ruin + Special Attack
Chien-Pao,Sword of Ruin + Speed and power
Palafin,Hero form Jet Punch + sky-high Attack
Annihilape,Rage Fist snowball + Bulk
Houndstone,Last Respects + Ghost immunity
Sneasler,Unburden + Dire Claw + Speed
Ursaluna,Guts + Heavy-Duty Boots set
Espathra,Speed Boost + Lumina Crash spam
Urshifu-SS (Smogon),Surging Strikes ignores Protect
Walking Wake (suspect),Protosynthesis + Hydro Steam
